epoch,train_loss,train_acc,val_loss,val_acc
1,1.8643,24.27,1.8073,26.99
2,1.8149,26.66,1.8180,27.35
3,1.7132,34.50,1.7065,38.09
4,1.6044,41.51,1.5228,44.92
5,1.5481,44.83,1.4505,49.67
6,1.5125,46.76,1.4073,50.74
7,1.4825,48.60,1.3779,52.86
8,1.4606,49.88,1.4546,49.51
9,1.4341,51.04,1.4738,50.38
10,1.4208,51.68,1.3370,54.81
11,1.4169,52.54,1.3653,53.18
12,1.3979,53.23,1.3927,53.13
13,1.3864,53.74,1.2867,57.75
14,1.3769,54.51,1.3256,55.35
15,1.3714,54.67,1.3088,56.98
16,1.3620,55.31,1.2807,57.94
17,1.3553,55.94,1.3206,56.74
18,1.3506,55.94,1.2957,57.94
19,1.3392,56.19,1.2641,59.72
20,1.3380,56.64,1.2704,59.61
21,1.3352,56.42,1.3119,57.75
22,1.3264,56.99,1.2916,57.48
23,1.3239,57.24,1.2576,59.53
24,1.2919,59.02,1.2280,61.52
25,1.2781,59.80,1.2230,61.58
26,1.2697,60.41,1.2230,61.40
27,1.2653,60.44,1.2335,61.60
28,1.2616,60.70,1.2110,62.29
29,1.2569,60.51,1.2210,61.56
30,1.2558,60.98,1.2168,62.44
31,1.2524,61.26,1.2111,62.36
32,1.2447,61.49,1.1889,63.01
33,1.2431,61.76,1.2093,62.43
